accident_index,accident_severity
201501CW10424,3
201501CW10426,3
201501CW10427,3
201501CW10428,2
201501CW10432,3
201501CW10434,2
201501CW10435,3
201501CW10436,3
201501CW10437,3
201501CW10440,3
201501CW10441,3
201501CW10443,3
201501CW10445,3
201501CW10446,3
201501CW10447,3
201501CW10448,3
201501CW10449,3
201501CW10450,3
201501CW10451,2
201501CW10452,3
201501CW10453,3
201501CW10454,3
201501CW10455,3
201501CW10456,3
201501CW10457,3
201501CW10458,3
201501CW10459,3
201501CW10461,3
201501CW10462,3
201501CW10464,3
201501CW10465,3
201501CW10466,3
201501CW10468,3
201501CW10469,3
201501CW10470,3
201501CW10471,2
201501CW10472,3
201501CW10473,3
201501CW10474,3
201501CW10475,3
201501CW10476,3
201501CW10477,3
201501CW10478,3
201501CW10479,3
201501CW10480,3
201501CW10481,3
201501CW10482,3
201501CW10483,3
201501CW10484,3
201501CW10485,3
201501CW10486,2
201501CW10487,3
201501CW10488,3
201501CW10489,3
201501CW10490,3
201501CW10491,3
201501CW10492,3
201501CW10493,3
201501CW10494,3
201501CW10495,3
201501CW10496,3
201501CW10497,3
201501CW10498,3
201501CW10500,3
201501CW10502,2
201501CW10504,3
201501CW10505,3
201501CW10506,3
201501CW10507,3
201501CW10508,3
201501CW10509,3
201501CW10510,3
201501CW10511,3
201501CW10512,2
201501CW10513,3
201501CW10514,3
201501CW10515,3
201501CW10516,2
201501CW10517,3
201501CW10518,3
201501CW10519,3
201501CW10520,3
201501CW10522,3
201501CW10524,3
201501CW10525,3
201501CW10527,3
201501CW10528,3
201501CW10529,3
201501CW10530,3
201501CW10531,3
201501CW10532,3
201501CW10533,3
201501CW10534,3
201501CW10535,3
201501CW10536,3
201501CW10537,3
201501CW10538,3
201501CW10539,3
201501CW10540,3
201501CW10541,3
201501CW10542,3
201501CW10543,3
201501CW10544,3
201501CW10545,3
201501CW10546,3
201501CW10547,3
201501CW10550,3
201501CW10553,3
201501CW10554,3
201501CW10555,3
201501CW10556,3
201501CW10557,3
201501CW10558,3
201501CW10559,3
201501CW10560,3
201501CW10561,3
201501CW10562,3
201501CW10565,3
201501CW10566,3
201501CW10567,2
201501CW10568,3
201501CW10569,3
201501CW10571,3
201501CW10572,3
201501CW10573,3
201501CW10574,3
201501CW10576,3
201501CW10578,3
201501CW10579,3
201501CW10580,3
201501CW10581,3
201501CW10582,3
201501CW10583,3
201501CW10584,2
201501CW10585,3
201501CW10588,3
201501CW10589,3
201501CW10590,3
201501CW10591,3
201501CW10592,3
201501CW10593,3
201501CW10595,3
201501CW10596,3
201501CW10597,3
201501CW10599,3
201501CW10600,3
201501CW10601,3
201501CW10602,3
201501CW10603,3
201501CW10604,3
201501CW10605,3
201501CW10607,3
201501CW10608,3
201501CW10609,3
201501CW10610,3
201501CW10611,3
201501CW10612,3
201501CW10613,3
201501CW10614,3
201501CW10615,3
201501CW10616,3
201501CW10617,3
201501CW10618,3
201501CW10619,3
201501CW10620,2
201501CW10621,3
201501CW10622,3
201501CW10623,3
201501CW10624,3
201501CW10625,3
201501CW10628,3
201501CW10629,3
201501CW10630,3
201501CW10631,3
201501CW10632,3
201501CW10633,3
201501CW10634,3
201501CW10636,3
201501CW10638,2
201501CW10640,3
201501CW10641,3
201501CW10642,3
201501CW10643,3
201501CW10644,3
201501CW10645,3
201501CW10647,3
201501CW10648,3
201501CW10649,3
201501CW10650,3
201501CW10651,3
201501CW10652,3
201501CW10653,3
201501CW10655,3
201501CW10656,3
201501CW10657,3
201501CW10658,2
201501CW10660,3
201501CW10662,3
201501CW10664,3
201501CW10665,3
201501CW10667,3
201501CW10668,2
201501CW10669,3
201501CW10670,3
201501CW10671,3
201501CW10672,3
201501CW10673,3
201501CW10675,3
201501CW10676,3
201501CW10677,3
201501CW10678,3
201501CW10679,3
201501CW10680,3
201501CW10681,3
201501CW10682,3
201501CW10683,3
201501CW10686,3
201501CW10687,3
201501CW10688,3
201501CW10689,2
201501CW10690,3
201501CW10691,3
201501CW10693,3
201501CW10694,2
201501CW10696,3
201501CW10698,3
201501CW10699,2
201501CW10700,3
201501CW10701,3
201501CW10704,3
201501CW10705,3
201501CW10706,2
201501CW10707,2
201501CW10708,3
201501CW10709,3
201501CW10710,3
201501CW10711,3
201501CW10712,2
201501CW10713,3
201501CW10714,3
201501CW10715,3
201501CW10716,2
201501CW10717,3
201501CW10718,3
201501CW10719,3
201501CW10720,3
201501CW10721,3
201501CW10722,3
201501CW10723,3
201501CW10724,3
201501CW10725,3
201501CW10726,3
201501CW10727,2
201501CW10728,3
201501CW10729,3
201501CW10730,3
201501CW10733,3
201501CW10734,3
201501CW10735,3
201501CW10736,3
201501CW10737,3
201501CW10738,3
201501CW10739,3
201501CW10740,3
201501CW10741,3
201501CW10743,3
201501CW10744,3
201501CW10746,3
201501CW10747,3
201501CW10748,3
201501CW10749,3
201501CW10750,3
201501CW10751,3
201501CW10752,3
201501CW10753,3
201501CW10754,3
201501CW10755,2
201501CW10758,3
201501CW10759,3
201501CW10761,3
201501CW10762,3
201501CW10763,3
201501CW10764,3
201501CW10765,3
201501CW10767,2
201501CW10769,2
201501CW10770,3
201501CW10771,3
201501CW10772,3
201501CW10774,3
201501CW10775,3
201501CW10776,3
201501CW10779,3
201501CW10780,3
201501CW10781,3
201501CW10782,2
